"LE_orig"	"LE_f"	"LE_fqc"	"LE_fall"	"LE_fall_qc"	"LE_fnum"	"LE_fsd"	"LE_fmeth"	"LE_fwin"
198.8	198.8	0	198.8	NA	NA	NA	NA	NA
135.5	135.5	0	135.5	NA	NA	NA	NA	NA
110.93	110.93	0	110.93	NA	NA	NA	NA	NA
71.85	71.85	0	71.85	NA	NA	NA	NA	NA
52.32	52.32	0	52.32	NA	NA	NA	NA	NA
26.11	26.11	0	26.11	NA	NA	NA	NA	NA
14.24	14.24	0	14.24	NA	NA	NA	NA	NA
12.02	12.02	0	12.02	NA	NA	NA	NA	NA
10.35	10.35	0	10.35	NA	NA	NA	NA	NA
15.28	15.28	0	15.28	NA	NA	NA	NA	NA
8.95	8.95	0	8.95	NA	NA	NA	NA	NA
9.42	9.42	0	9.42	NA	NA	NA	NA	NA
5.54	5.54	0	5.54	NA	NA	NA	NA	NA
NA	6.68226890756303	1	6.68226890756303	1	119	8.64377011249052	1	14
3.22	3.22	0	3.22	NA	NA	NA	NA	NA
4.79	4.79	0	4.79	NA	NA	NA	NA	NA
NA	6.66467741935484	1	6.66467741935484	1	124	8.71113841098974	1	14
NA	6.65822580645161	1	6.65822580645161	1	124	8.70517928707626	1	14
1.14	1.14	0	1.14	NA	NA	NA	NA	NA
0.57	0.57	0	0.57	NA	NA	NA	NA	NA
4.69	4.69	0	4.69	NA	NA	NA	NA	NA
2.15	2.15	0	2.15	NA	NA	NA	NA	NA
NA	4.98982608695652	1	4.98982608695652	1	115	10.0721245500612	1	14
1.81	1.81	0	1.81	NA	NA	NA	NA	NA
4.7	4.7	0	4.7	NA	NA	NA	NA	NA
20.51	20.51	0	20.51	NA	NA	NA	NA	NA
7.8	7.8	0	7.8	NA	NA	NA	NA	NA
125.64	125.64	0	125.64	NA	NA	NA	NA	NA
166.99	166.99	0	166.99	NA	NA	NA	NA	NA
290.51	290.51	0	290.51	NA	NA	NA	NA	NA
289.96	289.96	0	289.96	NA	NA	NA	NA	NA
342.41	342.41	0	342.41	NA	NA	NA	NA	NA
413.32	413.32	0	413.32	NA	NA	NA	NA	NA
