"LE_orig"	"LE_f"	"LE_fqc"	"LE_fall"	"LE_fall_qc"	"LE_fnum"	"LE_fsd"	"LE_fmeth"	"LE_fwin"
610.16	610.16	0	610.16	NA	NA	NA	NA	NA
520.91	520.91	0	520.91	NA	NA	NA	NA	NA
283.77	283.77	0	283.77	NA	NA	NA	NA	NA
272.21	272.21	0	272.21	NA	NA	NA	NA	NA
254	254	0	254	NA	NA	NA	NA	NA
170.89	170.89	0	170.89	NA	NA	NA	NA	NA
95.23	95.23	0	95.23	NA	NA	NA	NA	NA
70.01	70.01	0	70.01	NA	NA	NA	NA	NA
40.69	40.69	0	40.69	NA	NA	NA	NA	NA
15.23	15.23	0	15.23	NA	NA	NA	NA	NA
8.55	8.55	0	8.55	NA	NA	NA	NA	NA
13.59	13.59	0	13.59	NA	NA	NA	NA	NA
NA	8.62859154929578	1	8.62859154929578	1	71	9.39165774135667	1	14
NA	7.71415384615385	1	7.71415384615385	1	65	9.2945403820448	1	14
-4.18	-4.18	0	-4.18	NA	NA	NA	NA	NA
-1.33	-1.33	0	-1.33	NA	NA	NA	NA	NA
NA	3.20630136986301	1	3.20630136986301	1	73	7.70166008562968	1	14
10.88	10.88	0	10.88	NA	NA	NA	NA	NA
NA	0.54	1	0.54	1	109	7.79454236891049	1	14
NA	0.804324324324324	1	0.804324324324324	1	111	8.00415456004757	1	14
1.06	1.06	0	1.06	NA	NA	NA	NA	NA
6.08	6.08	0	6.08	NA	NA	NA	NA	NA
4.98	4.98	0	4.98	NA	NA	NA	NA	NA
-5.84	-5.84	0	-5.84	NA	NA	NA	NA	NA
-4.36	-4.36	0	-4.36	NA	NA	NA	NA	NA
NA	0.660540540540541	1	0.660540540540541	1	111	7.83978534467713	1	14
-3.44	-3.44	0	-3.44	NA	NA	NA	NA	NA
-4.08	-4.08	0	-4.08	NA	NA	NA	NA	NA
1.38	1.38	0	1.38	NA	NA	NA	NA	NA
16.16	16.16	0	16.16	NA	NA	NA	NA	NA
48.95	48.95	0	48.95	NA	NA	NA	NA	NA
